University_Name,Location,Ranking,Tutionfee,Enrollment
Lamar University,Beaumont,154-202,"[['full-time', '$6,324 per year (in-state)'], ['full-time', '$13,920 per year (out-of-state)'], ['part-time', '$351 per credit (in-state)'], ['part-time', '$773 per credit (out-of-state)']]",184
,,,,
Lawrence Technological University,Southfield,154-202,"[['full-time', '$17,318 per year'], ['part-time', '$8,659 per year']]",21
Louisiana Tech University,Ruston,154-202,"[['full-time', '$4,806 per year (in-state)'], ['full-time', '$9,537 per year (out-of-state)'], ['part-time', '$2,322 per year (in-state)'], ['part-time', '$2,322 per year (out-of-state)']]",191
Morgan State University (Mitchell),Baltimore,154-202,"[['full-time', '$455 per credit (in-state)'], ['full-time', '$894 per credit (out-of-state)'], ['part-time', '$455 per credit (in-state)'], ['part-time', '$894 per credit (out-of-state)']]",111
New Mexico Institute of Mining and Technology,Socorro,154-202,"[['full-time', '$7,344 per year (in-state)'], ['full-time', '$24,292 per year (out-of-state)'], ['part-time', '$4,896 per year (in-state)'], ['part-time', '$4,896 per year (out-of-state)']]",129
North Carolina A&T State University,Greensboro,154-202,"[['full-time', '$4,745 per year (in-state)'], ['full-time', '$17,545 per year (out-of-state)'], ['part-time', '$3,559 per year (in-state)'], ['part-time', '$13,159 per year (out-of-state)']]",204
North Dakota State University,Fargo,154-202,"[['full-time', '$478 per credit (in-state)'], ['full-time', '$643 per credit (out-of-state)'], ['part-time', '$478 per credit (in-state)'], ['part-time', '$643 per credit (out-of-state)']]",173
Oakland University,Rochester,154-202,"[['full-time', '$770 per credit (in-state)'], ['full-time', '$1,027 per credit (out-of-state)'], ['part-time', '$770 per credit (in-state)'], ['part-time', '$1,027 per credit (out-of-state)']]",342
Old Dominion University  (Batten),Norfolk,154-202,"[['full-time', '$551 per credit (in-state)'], ['full-time', '$1,387 per credit (out-of-state)'], ['part-time', '$551 per credit (in-state)'], ['part-time', '$1,387 per credit (out-of-state)']]",216
Portland State University (Maseeh),Portland,154-202,"[['full-time', '$497 per credit (in-state)'], ['full-time', '$724 per credit (out-of-state)'], ['part-time', '$497 per credit (in-state)'], ['part-time', '$724 per credit (out-of-state)']]",317
Prairie View A&M University,Prairie View,154-202,"[['full-time', '$5,096 per year (in-state)'], ['full-time', '$14,316 per year (out-of-state)'], ['part-time', '$5,096 per year (in-state)'], ['part-time', '$14,316 per year (out-of-state)']]",88
,,,,
Saint Louis University (Parks),St. Louis,154-202,"[['full-time', '$1,190 per credit'], ['part-time', '$1,190 per credit']]",101
South Dakota State University,Brookings,154-202,"[['full-time', '$337 per credit (in-state)'], ['full-time', '$466 per credit (out-of-state)'], ['part-time', '$337 per credit (in-state)'], ['part-time', '$466 per credit (out-of-state)']]",105
Southern Illinois University--Carbondale,Carbondale,154-202,"[['full-time', '$5,634 per year (in-state)'], ['full-time', '$14,084 per year (out-of-state)'], ['part-time', '$2,817 per year (in-state)'], ['part-time', '$7,042 per year (out-of-state)']]",169
SUNY College of Environmental Science and Forestry,Syracuse,154-202,"[['full-time', '$11,310 per year (in-state)'], ['full-time', '$23,100 per year (out-of-state)'], ['part-time', '$472 per credit (in-state)'], ['part-time', '$693 per credit (out-of-state)']]",43
SUNY Polytechnic Institute,Albany,154-202,"[['full-time', '$471 per credit (in-state)'], ['full-time', '$963 per credit (out-of-state)'], ['part-time', '$471 per credit (in-state)'], ['part-time', '$963 per credit (out-of-state)']]",40
Tennessee State University,Nashville,154-202,"[['full-time', '$1,158 per year (in-state)'], ['full-time', '$10,476 per year (out-of-state)'], ['part-time', '$864 per year (in-state)'], ['part-time', '$6,984 per year (out-of-state)']]",58
Tennessee Technological University,Cookeville,154-202,"[['full-time', '$514 per credit (in-state)'], ['full-time', '$726 per credit (out-of-state)'], ['part-time', '$514 per credit (in-state)'], ['part-time', '$726 per credit (out-of-state)']]",184
Texas A&M University--Kingsville (Dotterweich),Kingsville,154-202,"[['full-time', '$3,408 per year (in-state)'], ['full-time', '$10,770 per year (out-of-state)'], ['part-time', '$519 per credit (in-state)'], ['part-time', '$1,197 per credit (out-of-state)']]",216
The Catholic University of America,Washington,154-202,"[['full-time', '$50,260 per year'], ['part-time', '$1,975 per credit']]",135
University of Alaska--Fairbanks,Fairbanks,154-202,"[['full-time', '$11,088 per year (in-state)'], ['full-time', '$21,276 per year (out-of-state)'], ['part-time', '$7,392 per year (in-state)'], ['part-time', '$14,184 per year (out-of-state)']]",34
,,,,
University of Arkansas--Little Rock,Little Rock,154-202,"[['full-time', '$345 per credit (in-state)'], ['full-time', '$740 per credit (out-of-state)'], ['part-time', '$345 per credit (in-state)'], ['part-time', '$740 per credit (out-of-state)']]",117
University of Colorado--Colorado Springs,Colorado Springs,154-202,"[['full-time', '$746 per credit (in-state)'], ['full-time', '$1,314 per credit (out-of-state)'], ['part-time', '$767 per credit (in-state)'], ['part-time', '$1,335 per credit (out-of-state)']]",25
University of Denver,Denver,154-202,"[['full-time', '$35,064 per year'], ['part-time', '$1,461 per credit']]",260
University of Detroit Mercy,Detroit,154-202,"[['full-time', '$824 per credit'], ['part-time', '$824 per credit']]",107
University of Hawaii--Manoa,Honolulu,154-202,"[['full-time', '$10,400 per year (in-state)'], ['full-time', '$22,432 per year (out-of-state)'], ['part-time', '$650 per credit (in-state)'], ['part-time', '$1,402 per credit (out-of-state)']]",154
University of Louisiana--Lafayette,Lafayette,154-202,"[['full-time', '$5,511 per year (in-state)'], ['full-time', '$19,238 per year (out-of-state)'], ['part-time', '$563 per credit (in-state)'], ['part-time', '$1,326 per credit (out-of-state)']]",211
University of Maine,Orono,154-202,"[['full-time', '$461 per credit (in-state)'], ['full-time', '$1,503 per credit (out-of-state)'], ['part-time', '$461 per credit (in-state)'], ['part-time', '$1,503 per credit (out-of-state)']]",190
University of Massachusetts--Dartmouth,North Dartmouth,154-202,"[['full-time', '$16,390 per year (in-state)'], ['full-time', '$29,578 per year (out-of-state)'], ['part-time', '$683 per credit (in-state)'], ['part-time', '$1,232 per credit (out-of-state)']]",156
University of Memphis (Herff),Memphis,154-202,"[['full-time', '$597 per credit (in-state)'], ['full-time', '$789 per credit (out-of-state)'], ['part-time', '$597 per credit (in-state)'], ['part-time', '$789 per credit (out-of-state)']]",144
University of Michigan--Dearborn,Dearborn,154-202,"[['full-time', '$810 per credit (in-state)'], ['full-time', '$1,437 per credit (out-of-state)'], ['part-time', '$810 per credit (in-state)'], ['part-time', '$1,437 per credit (out-of-state)']]",287
