University_Name,Location,Ranking,Tutionfee,Enrollment
Arizona State University (Fulton),Tempe,41,"[['full-time', '$11,720 per year (in-state)'], ['full-time', '$31,400 per year (out-of-state)'], ['part-time', '$837 per credit (in-state)'], ['part-time', '$1,308 per credit (out-of-state)']]","2,597"
Vanderbilt University,Nashville,41,"[['full-time', '$37,566 per year'], ['part-time', '$2,087 per credit']]",515
Rensselaer Polytechnic Institute,Troy,43,"[['full-time', '$55,600 per year'], ['part-time', '$2,320 per credit']]",655
University of Rochester (Hajim),Rochester,43,"[['full-time', '$1,784 per credit'], ['part-time', '$1,784 per credit']]",593
University of Dayton,Dayton,45,"[['full-time', '$985 per credit'], ['part-time', '$985 per credit']]",703
University of Florida,Gainesville,45,"[['full-time', '$10,770 per year (in-state)'], ['full-time', '$27,335 per year (out-of-state)'], ['part-time', '$449 per credit (in-state)'], ['part-time', '$1,139 per credit (out-of-state)']]","1,900"
Iowa State University,Ames,47,"[['full-time', '$12,494 per year (in-state)'], ['full-time', '$27,892 per year (out-of-state)']]","1,247"
University of Delaware,Newark,47,"[['full-time', '$34,164 per year (in-state)'], ['full-time', '$34,164 per year (out-of-state)'], ['part-time', '$1,898 per credit (in-state)'], ['part-time', '$1,898 per credit (out-of-state)']]",796
University of Notre Dame,Notre Dame,47,"[['full-time', '$57,050 per year']]",576
University of Pittsburgh (Swanson),Pittsburgh,47,"[['full-time', '$27,010 per year (in-state)'], ['full-time', '$45,808 per year (out-of-state)'], ['part-time', '$1,280 per credit (in-state)'], ['part-time', '$2,166 per credit (out-of-state)']]",760
,,,,
Washington University in St. Louis,St. Louis,47,"[['full-time', '$56,300 per year'], ['part-time', '$1,994 per credit']]","1,056"
Case Western Reserve University,Cleveland,52,"[['full-time', '$47,920 per year'], ['part-time', '$1,997 per credit']]",685
Dartmouth College (Thayer),Hanover,53,"[['full-time', '$55,795 per year']]",295
Brown University,Providence,54,"[['full-time', '$8,633 per credit'], ['part-time', '$8,633 per credit']]",462
Colorado School of Mines,Golden,54,"[['full-time', '$16,650 per year (in-state)'], ['full-time', '$37,350 per year (out-of-state)']]","1,134"
